,Fuel Type Code,Station Name,Street Address,Latitude,Longitude,ZIP,Open Date
1229,ELEC,TOWER SHOP STATION 1,1902-2380 S. University Driver,26.093404999999997,-80.249353,33324,
1230,ELEC,NATIVE SUN NFM MANDARIN EVSE 1,10000 San Jose Blvd,30.196633000000002,-81.622939,32257,
1231,ELEC,NATIVE SUN NFM BYMDWS EVSE 01,11030 Baymeadows Rd,30.214746999999996,-81.51555400000001,32256,
1232,ELEC,A1A SOLAR EV CHARGER 01,10418 New Berlin Rd Unit 223/224,30.423401000000002,-81.565119,32226,
1233,ELEC,ANIMAL KINGDOM STATION 2A,2901 Osceola Pkwy,28.352204999999998,-81.589308,34747,
1234,ELEC,VALENCIACOLLEGE EV CHARGER 01,419 N Econlockhatchee Trail,28.549592999999998,-81.250633,32825,
1235,ELEC,WHOLE FOODS MKT SOUTH BEACH 1,1020 Alton Rd,25.781048000000002,-80.141222,33139,
1236,ELEC,UNIV OF FLORIDA GARAGE 13 #2,1273 Gale Lemerand Dr,29.640589000000002,-82.349726,32611,
1237,ELEC,BOLD CITY EV CHARGER 01,2670 Rosselle St,30.319122999999998,-81.695422,32204,
1238,ELEC,NAPLES HOTEL FAIRFIELD INN 1,1300 Airport Rd,30.481603000000003,-81.65177299999999,32218,
1239,ELEC,ACP MONTESSORI EVCHARGER 01,3718 Salisbury Rd,30.260737,-81.59735,32216,
1240,ELEC,OCEAN CITY PROP MEISNER ELEC,1-99 Bourque's Way,26.462777000000003,-80.070286,33483,
1241,ELEC,CORAL GABLES G2-220 ARAGON1,220 Aragon Ave,25.750232,-80.259233,33134,
1242,ELEC,WHOLE FOODS MKT CORAL GABLES2,6701 Red Rd,25.706357999999998,-80.284683,33146,
1243,ELEC,WEST PALM BEACH CITY CTR GAR 01,125 N Dixie Hwy,26.714142,-80.053821,33401,
1244,ELEC,FL DOT 4 FDOT,3400 W Commercial Blvd,26.185372,-80.195089,33309,
1245,ELEC,BAPTIST HEALTH BHM GARAGE 04,8900 N Kendall Dr,25.683106,-80.340384,33176,
1246,ELEC,ORANGE COUNTY OC IFAS EVSE 01,6021 S Conway Rd,28.468728000000002,-81.329075,32812,
1247,ELEC,WILDERNESS LODG STATION 1R,Unnamed Road,28.40767,-81.573779,32836,
1248,ELEC,USF BEARD GARAGE 02,3800 USF Beard Drive,28.058940999999997,-82.417357,33620,
1249,ELEC,CHATEAU BEACH EV CHARGER 03,17475 Collins Ave,25.937829999999998,-80.120991,33160,
1250,ELEC,OUC CITY HALL 1,400 S Orange Ave,28.537909000000003,-81.37880899999999,32801,
1251,ELEC,STATION 1 GUEST PARKING 2,43520 US Hwy 19 N,28.168090999999997,-82.741674,34689,
1252,ELEC,ELAN 16FORTY ELAN 16FORTY 1,1640 E Sunrise Blvd,26.13691,-80.126564,33304,
1253,ELEC,WHOLE FOODS MKT PALM BEACH ST 2,1857-1875 Palm Beach Lakes Blvd,26.720481,-80.08874,33401,
1254,ELEC,SARASOTA PARK EV 2,1538 State St,27.335475,-82.540201,34236,
1255,ELEC,MARCO EAST,400 S Collier,25.928601,-81.727714,34145,
1256,ELEC,OBE POWER MPA COURTHOUSE2,40 NW 3rd St,25.776879,-80.194281,33128,
1257,ELEC,ZRSMGMT BALDWINHARBOR 3,1915 Lakemont Avenue,28.568875,-81.327065,32814,
1258,ELEC,EASTGROUP PROP HORIZON COMM 02,236 Outlook Point Dr,28.448911,-81.383716,32809,
1259,ELEC,PNSLW HAMPTON PENSA 1,8021 Lavelle Way,30.521328000000004,-87.315713,32526,
1260,ELEC,PARKWAY#1 PARKWAY# 2,3123 Arabian Nights Blvd,28.33945,-81.531664,34747,
1261,ELEC,CYPRESS PARK CPW 1,6700 N Andrews Ave,26.209397,-80.14194599999999,33309,
1262,ELEC,ELEMENT MIAMI DORAL,3285 NW 107th Ave,25.803612,-80.36905,33172,
1263,ELEC,WHOLE FOODS MKT DAVIE1,1903 S University Dr,26.097355,-80.251448,33324,
1264,ELEC,WHOLE FOODS MKT PALM BEACH ST 1,1845 Palm Beach Lakes Blvd BLDG C,26.721337,-80.08929,33401,
1265,ELEC,BMW-NA FAST CHARGER 08,8558 Westside Industrial Dr,30.373286,-81.796081,32219,
1266,ELEC,WHOLE FOODS MKT MIAMI STAT 2,299 SE 3rd Ave,25.771976000000002,-80.188886,33132,
1267,ELEC,WHOLE FOODS MKT MIAMI STAT 1,200-227 FL-5,25.772385999999997,-80.189444,33131,
1268,ELEC,TAUBMAN UTC WEST LOT 04,81 N Cattlemen Rd,27.384590999999997,-82.45421,34243,
1269,ELEC,BMW SARASOTA STATION SA02,5151 Clark Rd,27.270186,-82.46722700000001,34233,
1270,ELEC,EPCOT STATION 2,200 Epcot Center Drive,28.377996000000003,-81.54969100000001,32821,
1271,ELEC,OUC OH PAVILION,818 Main Ln,28.531693,-81.378003,32801,
1272,ELEC,ACH EV CHARGER 01,400-498 8th Ave S,27.762016999999997,-82.639617,33701,
1273,ELEC,REEDY CREEK ORANGE GAR. 1,1590 E Buena Vista Dr,28.36883,-81.519785,32836,
1274,ELEC,BMW OF OCALA STATION 01,5145 SW College Rd,29.130319,-82.205444,34464,
1275,ELEC,BMW ORANGE PARK STATION 01,6914 Blanding Blvd,30.224614000000003,-81.73902199999999,32244,
1276,ELEC,HIGHWOODS LAKEPOINTE 2-2,3109 W Doctor M.L.K. Jr Blvd,27.983626,-82.496125,33607,
1277,ELEC,DAYTONA NISSAN QUICK CHARGER1,950 N Tomoka Farms Rd,29.214701,-81.104413,32124,
1278,ELEC,MARCO WEST,400s S Collier Blvd,25.928591,-81.727776,34145,
1279,ELEC,JACKSONVILLE FL WATER STREET 02,541 Water St,30.326931,-81.665204,32202,
1280,ELEC,BMW SARASOTA STATION 01,5680-5776 Rosin Way,27.270096999999996,-82.466963,34233,
1281,ELEC,NISSAN-PEMBROKE QUICK CHARGER 1,8890 Pines Blvd,26.007626000000002,-80.262739,33024,
1282,ELEC,FSEC CHARGER 01,1679 Clearlake Rd,28.387688,-80.756049,32926,
1283,ELEC,MELBOURNE FL CITY HALL 01,900 E Strawbridge Ave,28.079665000000002,-80.605988,32901,
1284,ELEC,BMW GAINESVILLE STATION 01,2810 N Main St,29.678424,-82.320777,32609,
1285,ELEC,BMW LAKELAND STATION 01,4285 Lakeland Park Dr,28.096456,-81.954615,33809,
1286,ELEC,IBIS WALK IBIS STATION 01,871 Ibis Walk Place N.,27.865665999999997,-82.645241,33716,
1287,ELEC,VISTA BMW STATION 01,4401 W Sample Rd,26.274942,-80.18413000000001,33073,
1288,ELEC,LAUDERDALE BMW STATION 02,14800 Sheridan St,26.02864,-80.345688,33331,
1289,ELEC,PBO STATION 1A,1771 Executive Center Dr,26.723853000000002,-80.087629,33401,
1290,ELEC,PBO STATION 2A,Executive Center DrPalm Beach Mall,26.724217,-80.086634,33401,
1291,ELEC,BMW OF DAYTONA STATION 01,1220 N Tomoka Farms Rd,29.206993,-81.100192,32124,
1292,ELEC,PBO STATION 3A,1751 Presidential Way,26.726171,-80.08639699999999,33401,
1293,ELEC,PBO EAST 1,1865 Palm Beach Lakes Blvd,26.723562,-80.089951,33401,
1294,ELEC,BMW STATION STATION 01,15235-15245 FL-45,26.519302000000003,-81.867246,33908,
1295,ELEC,BERT SMITH BMW STATION 01,3800 34th St N,27.806948,-82.67998399999999,33714,
1296,ELEC,GERMAIN BMW STATION 01,11286 Tamiami Trail N,26.276635,-81.80116,34110,
1297,ELEC,FERMAN BMW STATION 01,FL-55,28.057498,-82.73955699999999,34683,
1298,ELEC,TOM BUSH BMW MAZDA PUBLIC L2,9876 Atlantic Blvd,30.321943,-81.542699,32225,
1299,ELEC,BMW_PALM BEACH STATION 02,2911-2999 FL-704,26.707286,-80.098796,33409,
1300,ELEC,BMW SOUTH ORL STATION 01,9750 S Orange Blossom Trail,28.41453,-81.405163,32837,
1301,ELEC,MELBOURNE BMW STATION 01,1432 S Harbor City Blvd,28.0863,-80.607434,32901,
1302,ELEC,DRESI CVC 1,12046 Collegiate Way,28.59667,-81.211972,32817,
1303,ELEC,COGGIN BMW STATION 01,4429 S US Highway 1,27.381724,-80.326502,34982,
1304,ELEC,DRESI WINTERGATE SQ,1350 N Orange Ave,28.586396,-81.364059,32804,
1305,ELEC,DRESI 2600 DOUGLAS,23-31 Almeria Ave,25.74772,-80.255172,33134,
1306,ELEC,DRESI 2103 CORAL WAY,2103 Coral Way,25.750853,-80.228569,33165,
1307,ELEC,DRESI 1221 COLONIAL,1221 W Colonial Dr,28.553438,-81.396013,32804,
1308,ELEC,DRESI CVC 2,11816-11846 Collegiate Way,28.596477,-81.214943,32817,
1309,ELEC,PASCO COUNTY DATA CENTER 04,38425 McDonald St,28.338308,-82.182488,33525,
1310,ELEC,MELIA ORLANDO EV CHARGER 01,225 Celebration Pl,28.331646000000003,-81.537628,34747,
1311,ELEC,222 ESPERANTE ESPERANTE 01,222 Lakeview Ave,26.706015999999998,-80.051961,33401,
1312,ELEC,FLORIDA   TECH CHARGER 1,3115 Panther Place,28.062423,-80.621881,32901,
1313,ELEC,PALM LAKE JAEB CENTER 01,15310 Amberly Dr,28.091690000000003,-82.403516,33647,
1314,ELEC,SEACOAST BANK ORMOND BEACH 1,175 W Granada Blvd,29.284094,-81.06081999999999,32174,
1315,ELEC,CITY OF ST PETE MAHAFFEY GAR 1,5th Ave SE,27.765846000000003,-82.633377,33701,
1316,ELEC,CITY OF ST PETE S CORE GAR LVL7,101 1st Ave S,27.770502,-82.635239,33701,
1317,ELEC,CARCHARGING WALGREENS #4124,33670 Us Highway 19 N,28.078295,-82.739761,34683,
1318,ELEC,CITY OF ST PETE CITY HALL 01,175 5th St N,27.773109,-82.64009899999999,33701,
1319,ELEC,CITY OF ORLANDO LEU GARDENS 02,1920 N Forest Ave,28.569885,-81.35588100000001,32803,
1320,ELEC,CITY OF ST PETE MSC GARAGE 1,325 Central Ave,27.771334000000003,-82.63777900000001,33701,
1321,ELEC,OUC OC PUBLIC WORKS,4200 S John Young Pkwy,28.499965999999997,-81.418327,32839,
1322,ELEC,WINTER PARK W PARK AVE 01,231 W Park Ave,28.596482,-81.352424,32789,
1323,ELEC,PALMER-ELECTRIC PALMER HQ 01,875 Jackson Ave,28.590525,-81.37089499999999,32789,
1324,ELEC,WHOLE FOODS MKT PEMBROKEPINES 1,14956 Pines Blvd,26.006396,-80.349202,33027,
